Type,Security,Price,Time,DayMovingAverage
Sell,PG,125.88,10:45.9,125.8731475
Buy,PG,125.86,11:47.5,125.8731475
Sell,PG,125.875,12:48.9,125.8731475
Sell,APH,102.62,12:49.2,102.5644034
Buy,VRNA,8.7501,13:50.7,8.770082258
Sell,INTC,61.13,14:52.3,61.12529345
Sell,WBA,40.7022,14:52.5,40.68880112
Sell,VRNA,8.81,14:52.7,8.770082258
Sell,OCUL,8.69,14:53.0,8.676976897
Sell,NKE,98.31,14:53.2,98.25115743
Buy,WBA,40.67,15:54.9,40.68880112
Sell,WBA,40.69,17:58.2,40.68880112
Buy,OCUL,8.66,17:58.4,8.676976897
Buy,INTC,61.11,18:59.7,61.12529345
Buy,WBA,40.675,18:59.9,40.68880112
Buy,SDC,9.07,19:00.2,9.080192441
Sell,INTC,61.135,21:02.7,61.12529345
Sell,SDC,9.075,21:03.0,9.080192441
Buy,VRNA,8.77,22:04.5,8.770082258
Buy,SDC,9.08,22:04.7,9.080192441
Buy,INTC,61.105,23:06.1,61.12529345
Sell,WMT,132.75,25:08.7,132.7251592
Sell,VRNA,8.81,25:08.9,8.770082258
Sell,OCUL,8.71,25:09.2,8.676976897
Buy,WMT,132.6801,27:12.5,132.7251592
Buy,MSFT,210.89,28:13.8,210.893618
Sell,WMT,132.73,28:14.1,132.7251592
Sell,WBA,40.69,28:14.3,40.68880112
Buy,OCUL,8.67,28:14.5,8.676976897
Buy,WMT,132.62,29:16.1,132.7251592
Buy,VRNA,8.642,29:16.3,8.770082258
Buy,WBA,40.68,30:17.6,40.68880112
Sell,VRNA,8.8099,30:17.9,8.770082258
Sell,SDC,9.085,31:19.3,9.080192441
Sell,OCUL,8.695,31:19.6,8.676976897
Sell,MSFT,210.945,32:21.3,210.893618
Buy,VRNA,8.725,32:21.6,8.770082258
Buy,SDC,9.075,32:21.9,9.080192441
Buy,MSFT,210.855,33:23.3,210.893618
Sell,MSFT,211.06,35:26.0,210.893618
Sell,SDC,9.095,35:26.2,9.080192441
Sell,IBM,128.56,36:27.8,128.5223978
Sell,PSTX,15.76,37:29.2,15.63431984
Buy,IBM,128.49,38:30.9,128.5223978
Sell,INTC,61.145,39:32.3,61.12529345
Sell,IBM,128.57,39:32.5,128.5223978
Buy,INTC,61.125,41:35.0,61.12529345
Sell,WMT,132.74,41:35.2,132.7251592
Sell,INTC,61.135,43:38.1,61.12529345
Buy,PSTX,15.47,43:38.3,15.63431984
Sell,PSTX,15.69,45:40.8,15.63431984
Sell,MMM,158.84,47:43.4,158.7853935
Buy,INTC,61.115,51:49.4,61.12529345
Buy,PSTX,15.63,51:49.6,15.63431984
Buy,WMT,132.69,52:51.2,132.7251592
Sell,PSTX,15.64,52:51.4,15.63431984
Sell,WBA,40.695,55:55.5,40.68880112
Buy,NKE,98.945,30:14.4,99.09491039
Buy,GS,204.205,33:19.1,204.3054509
Sell,GS,204.375,36:24.1,204.3054509
Buy,GS,204.09,37:25.8,204.3054509
Buy,HD,264.77,39:29.9,264.8081462
Sell,GS,204.36,41:32.9,204.3054509
Sell,HD,264.84,41:33.1,264.8081462
Sell,NKE,99.1,45:39.1,99.09491039
Buy,CLSK,5.14,45:39.3,5.146571128
Buy,NKE,99.06,47:42.3,99.09491039
Buy,GS,204.15,48:43.7,204.3054509
Sell,NKE,99.14,48:43.9,99.09491039
Sell,CLSK,5.17,48:44.1,5.146571128
Sell,GS,204.31,49:45.5,204.3054509
Buy,NKE,99.06,49:45.8,99.09491039
Buy,GS,204.08,50:47.1,204.3054509
Sell,NKE,99.17,54:53.1,99.09491039
Buy,MCD,197.91,00:00.2,197.9081852
Buy,NKE,99.08,07:09.4,99.09491039
Sell,NKE,99.14,08:10.8,99.09491039
Buy,NKE,99.08,09:12.4,99.09491039
Buy,KO,48.315,10:14.1,48.31520813
Sell,NKE,99.11,10:14.3,99.09491039
Buy,WMT,131.66,17:23.9,132.0102245
Buy,NKE,99.09,19:26.5,99.09491039
Sell,NKE,99.1,20:27.9,99.09491039
Buy,NKE,99.08,21:29.7,99.09491039
Sell,NKE,99.1,22:31.2,99.09491039
Buy,XOM,43.41,22:31.4,43.46008515
Buy,NKE,99.05,23:33.1,99.09491039
Buy,TLSA,9.2976,23:33.3,9.415821805
Buy,IDXG,6.2095,24:34.9,6.249330726
Buy,CVX,90.54,24:35.1,90.66741045
Sell,NKE,99.11,24:35.3,99.09491039
Buy,MMM,159.17,25:36.7,159.2252387
Sell,CVX,90.67,26:38.1,90.66741045
Sell,IDXG,6.27,27:39.5,6.249330726
Buy,CVX,90.66,27:39.7,90.66741045
Buy,BA,178.2901,28:41.5,178.3166956
Sell,CVX,90.73,40:56.5,90.66741045
Buy,CCL,14.916,44:00.6,14.92068355
Buy,MSFT,202.6501,44:00.9,205.4844867
Sell,CCL,14.94,45:02.2,14.92068355
